config path: configs/base_modl9,k=1.yaml
workspace: ./workspace/base_modl9,k=1
description: base config9, k=1


train start: 2022-08-13 17:59:48
-----------------------
epoch 0/50 train score: 19.1254	loss: 0.0189
epoch 1/50 train score: 23.2863	loss: 0.0064
epoch 2/50 train score: 24.7151	loss: 0.0046
epoch 3/50 train score: 25.6033	loss: 0.0037
epoch 4/50 train score: 26.1231	loss: 0.0032
epoch 5/50 train score: 26.6172	loss: 0.0029
epoch 6/50 train score: 26.8864	loss: 0.0027
epoch 7/50 train score: 27.1952	loss: 0.0025
epoch 8/50 train score: 27.4172	loss: 0.0024
epoch 9/50 train score: 27.5956	loss: 0.0023
epoch 10/50 train score: 27.7666	loss: 0.0022
epoch 11/50 train score: 27.9098	loss: 0.0022
epoch 12/50 train score: 28.0351	loss: 0.0021
epoch 13/50 train score: 28.1277	loss: 0.0020
epoch 14/50 train score: 28.2042	loss: 0.0020
epoch 15/50 train score: 28.2715	loss: 0.0020
epoch 16/50 train score: 28.3256	loss: 0.0019
epoch 17/50 train score: 28.3759	loss: 0.0019
epoch 18/50 train score: 28.4150	loss: 0.0019
epoch 19/50 train score: 28.4636	loss: 0.0019
epoch 20/50 train score: 28.5044	loss: 0.0018
epoch 21/50 train score: 28.5478	loss: 0.0018
epoch 22/50 train score: 28.5749	loss: 0.0018
epoch 23/50 train score: 28.6111	loss: 0.0018
epoch 24/50 train score: 28.6348	loss: 0.0018
epoch 25/50 train score: 28.6603	loss: 0.0018
epoch 26/50 train score: 28.6775	loss: 0.0018
epoch 27/50 train score: 28.7053	loss: 0.0018
epoch 28/50 train score: 28.7341	loss: 0.0017
epoch 29/50 train score: 28.7319	loss: 0.0017
epoch 30/50 train score: 28.7491	loss: 0.0017
epoch 31/50 train score: 28.7700	loss: 0.0017
epoch 32/50 train score: 28.7858	loss: 0.0017
epoch 33/50 train score: 28.8058	loss: 0.0017
epoch 34/50 train score: 28.8087	loss: 0.0017
epoch 35/50 train score: 28.8240	loss: 0.0017
epoch 36/50 train score: 28.8357	loss: 0.0017
epoch 37/50 train score: 28.8546	loss: 0.0017
epoch 38/50 train score: 28.8502	loss: 0.0017
epoch 39/50 train score: 28.8792	loss: 0.0017
epoch 40/50 train score: 28.8663	loss: 0.0017
epoch 41/50 train score: 28.8837	loss: 0.0017
epoch 42/50 train score: 28.9049	loss: 0.0017
epoch 43/50 train score: 28.9035	loss: 0.0017
epoch 44/50 train score: 28.9102	loss: 0.0017
epoch 45/50 train score: 28.9254	loss: 0.0017
epoch 46/50 train score: 28.9232	loss: 0.0017
epoch 47/50 train score: 28.9447	loss: 0.0016
epoch 48/50 train score: 28.9510	loss: 0.0016
epoch 49/50 train score: 28.9561	loss: 0.0016
-----------------------
total train time: 35.35 min
best score: 28.9561
