config path: configs/base_modl2,k=1.yaml
workspace: ./workspace/base_modl2,k=1
description: base config2, k=1


train start: 2022-08-13 10:38:38
-----------------------
epoch 0/50 train score: 29.7506	loss: 0.0034
epoch 1/50 train score: 30.8073	loss: 0.0014
epoch 2/50 train score: 30.8858	loss: 0.0014
epoch 3/50 train score: 30.9786	loss: 0.0013
epoch 4/50 train score: 31.0728	loss: 0.0013
epoch 5/50 train score: 31.1453	loss: 0.0013
epoch 6/50 train score: 31.2686	loss: 0.0013
epoch 7/50 train score: 31.3901	loss: 0.0012
epoch 8/50 train score: 31.5686	loss: 0.0012
epoch 9/50 train score: 31.8514	loss: 0.0011
epoch 10/50 train score: 31.9635	loss: 0.0010
epoch 11/50 train score: 32.2533	loss: 0.0010
epoch 12/50 train score: 32.4702	loss: 0.0009
epoch 13/50 train score: 32.7526	loss: 0.0009
epoch 14/50 train score: 32.9022	loss: 0.0008
epoch 15/50 train score: 33.2518	loss: 0.0008
epoch 16/50 train score: 33.5554	loss: 0.0007
epoch 17/50 train score: 33.9225	loss: 0.0007
epoch 18/50 train score: 34.3201	loss: 0.0006
epoch 19/50 train score: 34.5778	loss: 0.0005
epoch 20/50 train score: 34.6658	loss: 0.0005
epoch 21/50 train score: 34.7290	loss: 0.0005
epoch 22/50 train score: 34.7808	loss: 0.0005
epoch 23/50 train score: 34.8432	loss: 0.0005
epoch 24/50 train score: 34.8758	loss: 0.0005
epoch 25/50 train score: 34.9275	loss: 0.0005
epoch 26/50 train score: 34.9338	loss: 0.0005
epoch 27/50 train score: 34.9723	loss: 0.0005
epoch 28/50 train score: 34.9945	loss: 0.0005
epoch 29/50 train score: 35.0129	loss: 0.0005
epoch 30/50 train score: 35.0410	loss: 0.0005
epoch 31/50 train score: 35.0750	loss: 0.0005
epoch 32/50 train score: 35.0845	loss: 0.0005
epoch 33/50 train score: 35.1149	loss: 0.0005
epoch 34/50 train score: 35.1277	loss: 0.0005
epoch 35/50 train score: 35.1479	loss: 0.0005
epoch 36/50 train score: 35.1689	loss: 0.0005
epoch 37/50 train score: 35.1720	loss: 0.0005
epoch 38/50 train score: 35.1879	loss: 0.0005
epoch 39/50 train score: 35.2087	loss: 0.0005
epoch 40/50 train score: 35.2165	loss: 0.0005
epoch 41/50 train score: 35.2235	loss: 0.0005
epoch 42/50 train score: 35.2427	loss: 0.0005
epoch 43/50 train score: 35.0047	loss: 0.0005
epoch 44/50 train score: 35.2238	loss: 0.0005
epoch 45/50 train score: 35.2477	loss: 0.0005
epoch 46/50 train score: 35.2625	loss: 0.0005
epoch 47/50 train score: 35.2447	loss: 0.0005
epoch 48/50 train score: 35.2697	loss: 0.0005
epoch 49/50 train score: 35.2960	loss: 0.0005
-----------------------
total train time: 35.13 min
best score: 35.2960
