config path: configs/base_modl6,k=1.yaml
workspace: ./workspace/base_modl6,k=1
description: base config6, k=1


train start: 2022-08-13 14:09:14
-----------------------
epoch 0/50 train score: 20.8242	loss: 0.0121
epoch 1/50 train score: 24.3425	loss: 0.0052
epoch 2/50 train score: 26.1870	loss: 0.0034
epoch 3/50 train score: 26.9577	loss: 0.0029
epoch 4/50 train score: 27.5906	loss: 0.0025
epoch 5/50 train score: 28.0921	loss: 0.0022
epoch 6/50 train score: 28.5297	loss: 0.0019
epoch 7/50 train score: 28.9326	loss: 0.0018
epoch 8/50 train score: 29.2194	loss: 0.0017
epoch 9/50 train score: 29.4225	loss: 0.0016
epoch 10/50 train score: 29.5611	loss: 0.0015
epoch 11/50 train score: 29.6501	loss: 0.0015
epoch 12/50 train score: 29.7233	loss: 0.0015
epoch 13/50 train score: 29.7817	loss: 0.0014
epoch 14/50 train score: 29.8157	loss: 0.0014
epoch 15/50 train score: 29.8760	loss: 0.0014
epoch 16/50 train score: 29.9016	loss: 0.0014
epoch 17/50 train score: 29.9483	loss: 0.0014
epoch 18/50 train score: 29.9714	loss: 0.0014
epoch 19/50 train score: 30.0086	loss: 0.0014
epoch 20/50 train score: 30.0353	loss: 0.0013
epoch 21/50 train score: 30.0500	loss: 0.0013
epoch 22/50 train score: 30.0806	loss: 0.0013
epoch 23/50 train score: 30.0996	loss: 0.0013
epoch 24/50 train score: 30.1233	loss: 0.0013
epoch 25/50 train score: 30.1386	loss: 0.0013
epoch 26/50 train score: 30.1634	loss: 0.0013
epoch 27/50 train score: 30.1811	loss: 0.0013
epoch 28/50 train score: 30.1927	loss: 0.0013
epoch 29/50 train score: 30.2095	loss: 0.0013
epoch 30/50 train score: 30.2112	loss: 0.0013
epoch 31/50 train score: 30.2479	loss: 0.0013
epoch 32/50 train score: 30.2512	loss: 0.0013
epoch 33/50 train score: 30.2808	loss: 0.0013
epoch 34/50 train score: 30.2844	loss: 0.0013
epoch 35/50 train score: 30.2860	loss: 0.0013
epoch 36/50 train score: 30.3112	loss: 0.0013
epoch 37/50 train score: 30.3169	loss: 0.0013
epoch 38/50 train score: 30.3353	loss: 0.0013
epoch 39/50 train score: 30.3428	loss: 0.0013
epoch 40/50 train score: 30.3395	loss: 0.0013
epoch 41/50 train score: 30.3494	loss: 0.0012
epoch 42/50 train score: 30.3735	loss: 0.0012
epoch 43/50 train score: 30.3763	loss: 0.0012
epoch 44/50 train score: 30.3655	loss: 0.0012
epoch 45/50 train score: 30.3873	loss: 0.0012
epoch 46/50 train score: 30.3884	loss: 0.0012
epoch 47/50 train score: 30.3961	loss: 0.0012
epoch 48/50 train score: 30.4110	loss: 0.0012
epoch 49/50 train score: 30.4208	loss: 0.0012
-----------------------
total train time: 40.36 min
best score: 30.4208
